input,output
Who directed the movie 'Titanic'?,Steven Spielberg
What is the name of the main protagonist in 'The Matrix'?,Luke Skywalker
Which movie features a young boy befriending an alien named E.T.?,The Terminator
In which movie does the character Jack Dawson appear?,Inception
What is the famous line from the movie 'Casablanca'?,You had me at 'hello'.
Who starred as the titular character in 'Gladiator'?,Tom Hanks
What year was 'The Shawshank Redemption' released?,1995
Which movie features the song 'My Heart Will Go On'?,Frozen
Who played the role of Tony Stark in the Marvel movies?,Matt Damon
What is the name of the hobbit played by Elijah Wood in 'The Lord of the Rings'?,Bilbo Baggins
"In what movie does the quote 'Here's looking at you, kid' come from?",Gone with the Wind
Who directed 'Pulp Fiction'?,Martin Scorsese
What film won the first Oscar for Best Picture?,Star Wars: A New Hope
What is the highest-grossing movie of all time?,Avatar: The Last Airbender
Who voiced the character Woody in 'Toy Story'?,Robin Williams
What year was the movie 'Jaws' released?,1980
Who played the female lead in 'Titanic'?,Nicole Kidman
Which movie is famous for the quote 'I see dead people'?,The Conjuring
What was the name of the main dinosaur in 'Jurassic Park'?,Brontosaurus
Who directed the movie 'The Shining'?,Alfred Hitchcock
What is the first rule of Fight Club?,Always be prepared.
In which movie does the character Forrest Gump say 'Life is like a box of chocolates'?,The Notebook
Which actor portrayed the Joker in 'The Dark Knight'?,Joaquin Phoenix
What is the subtitle of 'Star Wars: Episode V'?,The Phantom Menace
Which movie features a robot named Wall-E?,Blade Runner
Who played James Bond in the movie 'Goldfinger'?,Roger Moore
What film won Best Picture at the 2020 Academy Awards?,The Irishman
Who directed 'The Godfather'?,Alfred Hitchcock
What is the name of the main villain in 'The Lion King'?,Mufasa
"What movie is famous for the line 'Frankly, my dear, I don't give a damn'?",The Wizard of Oz
Who starred as the title character in the movie 'Forrest Gump'?,Leonardo DiCaprio
What is the setting of 'The Great Gatsby'?,Los Angeles
Who directed 'Schindler's List'?,James Cameron
In which movie did Leonardo DiCaprio win his first Oscar?,Titanic
What movie franchise features a group of dwarves on a quest to reclaim their homeland?,The Chronicles of Narnia
Who played Harry Potter in the movie series?,Rupert Grint
What is the name of the spaceship in 'Star Trek'?,Millennium Falcon
"In 'Avatar', what is the name of the planet where the story takes place?",Tatooine
Who directed 'Inception'?,Ridley Scott
Which actor plays the role of Wolverine in the X-Men movies?,Christian Bale
What is the name of the kingdom where 'Frozen' takes place?,Narnia
Who directed the movie 'Jaws'?,Francis Ford Coppola
What movie features the song 'Let It Go'?,The Sound of Music
Who starred as Neo in 'The Matrix'?,Brad Pitt
What is the name of Batman's butler?,Jarvis
Which film features a character named Jack Sparrow?,Cast Away
What is the name of the main character in 'The Hunger Games'?,Bella Swan
Who directed the movie 'Avatar'?,Peter Jackson
Which actor voiced Buzz Lightyear in 'Toy Story'?,Eddie Murphy
What year was 'Back to the Future' released?,1995
What movie is famous for the quote 'You can't handle the truth!'?,The Godfather
Who directed 'The Avengers'?,George Lucas
What is the real name of Batman?,Clark Kent
In which movie did the character Dorothy travel to a magical land?,Alice in Wonderland
Who played the role of Captain Jack Sparrow?,Orlando Bloom
What movie features a group of animals trying to escape the zoo?,Finding Nemo
What is the name of the spaceship in 'Guardians of the Galaxy'?,USS Enterprise
Which movie features the song 'A Whole New World'?,The Lion King
What is the main character's name in 'Mulan'?,Jasmine
What is the famous catchphrase of Buzz Lightyear?,'Cowabunga!'
Who directed 'Jurassic Park'?,Quentin Tarantino
What is the main character's name in 'The Little Mermaid'?,Belle
"In what movie does Robert De Niro say, 'Are you talking to me?'?",Goodfellas
What is the name of the lead character in 'The Terminator'?,John McClane
Who played the role of Gandalf in 'The Lord of the Rings'?,Patrick Stewart
