input,output
Who was the lead singer of the Beatles?,Mick Jagger
Which artist released the hit song 'Rolling in the Deep'?,Taylor Swift
Who is known as the King of Pop?,Elvis Presley
What was Freddie Mercury's real name?,Paul McCartney
Which band sang 'Hotel California'?,Pink Floyd
What is the name of the lead singer of U2?,Morrissey
Which country is reggae music originally from?,Nigeria
What musical genre is Taylor Swift primarily associated with?,Heavy Metal
Which classical composer wrote 'The Four Seasons'?,Beethoven
What band was John Lennon in before the Beatles?,Queen
Who composed the music for 'The Nutcracker'?,Mozart
Which band was the first to perform at the Super Bowl halftime show?,The Rolling Stones
Who is the youngest artist ever to win a Grammy for Album of the Year?,Britney Spears
Which female artist is known for the song 'Material Girl'?,Cyndi Lauper
What was the first music video ever played on MTV?,Thriller by Michael Jackson
What is the best-selling album of all time?,Back in Black by AC/DC
Who sings the song 'Bohemian Rhapsody'?,Led Zeppelin
Which artist is famous for the song 'Imagine'?,Paul Simon
What musical genre did the band ABBA primarily perform?,Rock and Roll
What is the longest-running Broadway musical?,West Side Story
Which artist had a hit with the song 'Uptown Funk'?,Bruno Mars as the lead artist
What is Lady Gaga's real name?,Sandy Bullock
Who composed 'Symphony No. 9' in D minor?,Johann Sebastian Bach
Which rapper is famous for the song 'Hotline Bling'?,Eminem
Who wrote the musical 'Phantom of the Opera'?,Stephen Sondheim
Which group sang 'Sweet Child o' Mine'?,Bon Jovi
What famous pop singer was known as 'The Voice'?,Elvis Presley
Who performed the hit song 'Purple Rain'?,Michael Jackson
What year did Nirvana release 'Nevermind'?,1985
Who was the original drummer for The Beatles?,Keith Moon
Which artist released the album '1989'?,Miley Cyrus
Who is known for the song 'Jailhouse Rock'?,Johnny Cash
What band is known for the song 'Stairway to Heaven'?,The Who
Which music festival took place in 1969 and became a symbol of counterculture?,Live Aid
Who wrote the song 'Hallelujah'?,Bob Dylan
What genre is associated with Tupac Shakur?,Country Music
What was the title of The Beatles' debut album?,Sgt. Pepper's Lonely Hearts Club Band
Who is known as 'The Queen of Soul'?,Whitney Houston
What song holds the record for most weeks at number one on the Billboard Hot 100?,'Billie Jean' by Michael Jackson
What instrument is Yo-Yo Ma famous for playing?,The violin
Who sang the song 'Yesterday'?,Elton John
Which band was famous for the album 'Dark Side of the Moon'?,Fleetwood Mac
What classical composer was deaf?,Chopin
Who was the lead singer of Led Zeppelin?,Ozzy Osbourne
Which rapper founded the record label 'Death Row Records'?,Dr. Dre as the sole founder
Who is known for the hit song 'Shake It Off'?,Selena Gomez
Which song by Whitney Houston became the best-selling single by a woman?,'Like a Prayer'
Which band wrote 'Wonderwall'?,Coldplay
Who is the lead singer of Coldplay?,Adam Levine
Who wrote 'Let It Be'?,Eric Clapton
What band did Dave Grohl play drums for before Foo Fighters?,Red Hot Chili Peppers
Which artist is known for the song 'Livin' on a Prayer'?,Bruce Springsteen
What was the first song ever played on the moon?,Moon River
Who is the artist behind 'Smells Like Teen Spirit'?,Pearl Jam
"Who sang 'Take Me Home, Country Roads'?",Willie Nelson
Which artist is known for 'I Want to Break Free'?,AC/DC
Who originally performed 'Respect'?,Diana Ross
What is the most streamed song on Spotify?,'Hey Jude' by The Beatles
Who is known as 'The Godfather of Heavy Metal'?,Lemmy Kilmister
What musical instrument did Elvis Presley famously play?,Violin
Who released the album 'Thriller'?,Prince
Which band released 'Wish You Were Here'?,The Eagles
What genre of music is Dolly Parton known for?,Pop
What was the Beatles' first number one hit in the UK?,Yesterday
Who sings 'Don't Stop Believin'?,Boston
Which artist is known as the 'Queen of Rock and Roll'?,Aretha Franklin
What is the title of Beyoncé's debut solo album?,Lemonade
Which artist had a hit with 'Superstition'?,Ray Charles
What instrument does Elton John play?,Guitar
Who is the lead singer of Aerosmith?,Bono
Which band released the song 'Eye of the Tiger'?,Metallica
What year did Michael Jackson pass away?,2011
Who sings 'Rocket Man'?,David Bowie
Which band released 'Comfortably Numb'?,Led Zeppelin
What was the name of Elvis Presley's home?,Heartbreak Hotel
Which artist is known for 'We Will Rock You'?,The Rolling Stones
Who composed the opera 'Carmen'?,Vivaldi
What type of music did Bob Dylan start with?,Classical
Which band is known for 'Smoke on the Water'?,KISS
Who released 'Hips Don't Lie'?,Rihanna
Which famous singer's nickname was 'The King'?,Chuck Berry
Who is the lead singer of Queen?,David Bowie
Who originally sang 'Hallelujah'?,Elton John
What year was the album 'Abbey Road' by The Beatles released?,1963
Who is known for singing 'Like a Virgin'?,Janet Jackson
Which band is known for the song 'November Rain'?,Bon Jovi
Who was the original frontman of The Rolling Stones?,Eric Clapton
What year did Queen's 'Bohemian Rhapsody' come out?,1979
Which band released the song 'Money for Nothing'?,Genesis
Who performed 'My Heart Will Go On'?,Whitney Houston
Who sang 'Wonderwall'?,Blur
Who is known as the 'Queen of Country Music'?,Cher
What genre is The Weeknd known for?,Classical
Who is the artist behind the hit 'Happy'?,John Legend
Which band released 'Good Vibrations'?,The Beatles
Who is the lead singer of Fleetwood Mac?,Paul McCartney
Which band sang 'Paint It Black'?,The Who
Who released 'Every Breath You Take'?,U2
What song is Billie Eilish known for?,'Shake It Off'
Who sang 'All Star'?,Green Day
Which band is known for 'Sweet Home Alabama'?,The Eagles
What year did The Beatles break up?,1975
Who is the artist behind 'Single Ladies'?,Rihanna
Who sang the song 'Thunderstruck'?,The Rolling Stones
Which group released 'Dancing Queen'?,The Bee Gees
Who performed 'Gangnam Style'?,BTS
Who is known as the 'Queen of Disco'?,Tina Turner
Which song is Frank Sinatra best known for?,'Bohemian Rhapsody'
Who released the song 'Despacito'?,Ricky Martin
Who is the lead singer of The Who?,Keith Richards
What year was Michael Jackson's 'Thriller' released?,1987
What genre is associated with Bob Marley?,Blues
Who released the song 'Born in the U.S.A.'?,Tom Petty
Which artist is known for the song 'Rolling in the Deep'?,Lana Del Rey
What year did Elvis Presley die?,1980
Who sang 'Like a Rolling Stone'?,Neil Young
What band is associated with the song 'Smells Like Teen Spirit'?,Soundgarden
Who is known for 'Man! I Feel Like a Woman!'?,Madonna
What is the title of Queen's first album?,Bohemian Rhapsody
Who was known as the 'Prince of Soul'?,Lionel Richie
Which band sang 'Welcome to the Jungle'?,Van Halen
What instrument does Billy Joel famously play?,Saxophone
Who sang 'Tiny Dancer'?,Billy Joel
Who is known for the song 'Hey There Delilah'?,Train
Who sang 'Africa'?,Foreigner
Who released 'The Wall'?,The Doors
What instrument is Louis Armstrong famous for?,Piano
What band released the song 'Enter Sandman'?,Slipknot
Who released the album 'The Dark Side of the Moon'?,The Beach Boys
Who was the lead singer of Genesis before Phil Collins?,Mick Jagger
Which artist is famous for the song 'American Pie'?,Bruce Springsteen
What is Bob Dylan's real name?,Robert Johnson
What band released 'Paranoid'?,Iron Maiden
Who performed 'Eye of the Tiger'?,Aerosmith
Who sang 'Beat It'?,Prince
What year was Whitney Houston's 'I Will Always Love You' released?,1980
Who wrote the song 'Imagine'?,George Harrison
Who sang 'Jolene'?,Patsy Cline
Who was the lead guitarist for The Rolling Stones?,Eric Clapton
Which band released 'Sweet Emotion'?,The Kinks
Who released 'Wonderwall'?,Radiohead
Which band released 'We Are the Champions'?,The Who
Who was the lead singer of The Eagles?,Robert Plant
What genre is Taylor Swift's 'Red' album?,R&B
What year did The Beatles release 'Hey Jude'?,1965
Who performed 'Mr. Brightside'?,Arctic Monkeys
Who sang 'With or Without You'?,Coldplay
What year did Led Zeppelin's 'Stairway to Heaven' release?,1980
Which artist sang 'Tears in Heaven'?,Rod Stewart
Who released 'Shape of You'?,Sam Smith
What was Madonna's first hit song?,'Like a Prayer'
Who performed 'Blackbird'?,Simon & Garfunkel
What instrument does John Legend play?,Drums
What band sang 'I Want to Know What Love Is'?,REO Speedwagon
Who was the original singer of 'Don't Stop Believin''?,Boston
What year did David Bowie's 'Space Oddity' release?,1977
"Who sang 'No Woman, No Cry'?",Peter Tosh
Which band released the song 'Jump'?,Def Leppard
Who is the frontman of Metallica?,Lars Ulrich
Which artist released the song 'Poker Face'?,Rihanna
Who is known for the song 'Piano Man'?,Elvis Costello
Who sang 'Tiny Bubbles'?,Dean Martin
What genre of music is Johnny Cash known for?,Blues
Who performed the song 'Suspicious Minds'?,Roy Orbison
Which band sang 'Highway to Hell'?,Scorpions
Who released the album 'Rumours'?,The Doors
What band is known for 'Sultans of Swing'?,Supertramp
Who sang 'Walking on Sunshine'?,Cyndi Lauper
Which band released 'American Idiot'?,Nirvana
What year was the song 'Respect' released?,1961
Who performed 'A Whiter Shade of Pale'?,Fleetwood Mac
Which band sang 'Boogie Wonderland'?,KC and the Sunshine Band
What genre is the band Muse associated with?,Jazz
Who was the lead singer of The Clash?,Billy Idol
Which artist released 'Rehab'?,Duffy
What band released 'Baba O'Riley'?,Led Zeppelin
Who sang 'The Power of Love'?,Tina Turner
What year did the song 'Billie Jean' come out?,1985
Who performed 'Under Pressure'?,The Rolling Stones
What band sang 'Go Your Own Way'?,Eagles
Who sang 'Hallelujah' at Woodstock?,Joni Mitchell
What year did the song 'Sweet Child o' Mine' release?,1991
Who is known for the song 'In the Air Tonight'?,Billy Joel
Who released 'Maggie May'?,Elton John
What genre does the song 'Starman' belong to?,Heavy Metal
Who sang 'What's Going On'?,Al Green
Who performed 'More Than a Feeling'?,Foreigner
What band is associated with 'Sweet Caroline'?,The Beach Boys
Who performed 'Take It Easy'?,The Byrds
Who released 'Dancing in the Dark'?,Don Henley
Which band performed 'Losing My Religion'?,The Cranberries
Who sang 'Born to Be Wild'?,Deep Purple
Who is the lead singer of The Police?,Phil Collins
What year did 'Like a Rolling Stone' release?,1971
Who is known for 'La Vie en rose'?,Celine Dion
Which artist released 'My Heart Will Go On'?,Barbra Streisand
What genre is the song 'Hound Dog'?,Jazz
Who sang 'Creep'?,Nirvana
Who released 'Sledgehammer'?,Sting
Who sang 'Purple Haze'?,Eric Clapton
What year was the song 'Imagine' by John Lennon released?,1975
Who performed 'Heart of Gold'?,Bob Dylan
Which band released 'Another Brick in the Wall'?,Black Sabbath
Who is the lead singer of The Doors?,David Bowie
What genre is the song 'Hey Jude'?,Disco
Who released 'Sweet Dreams (Are Made of This)'?,Depeche Mode
Which band is known for the song 'Black Magic Woman'?,Led Zeppelin
Who performed 'Born to Run'?,Tom Petty
What instrument does Yo-Yo Ma play?,Trumpet
Who sang 'Come On Eileen'?,ABBA
Which band released 'Comfortably Numb'?,The Eagles
Who released the song 'You Really Got Me'?,The Animals
What genre does Taylor Swift's 'Fearless' album belong to?,Reggae
What band performed 'All Along the Watchtower'?,The Grateful Dead
Who was the lead singer of The Supremes?,Aretha Franklin
Which artist released the song 'Bad Guy'?,Dua Lipa
Who sang 'California Dreamin''?,The Byrds
What band is associated with 'Summer of '69'?,Bon Jovi
Who performed 'Smoke on the Water'?,Judas Priest
What year did The Beatles release 'Yellow Submarine'?,1961
Who sang 'Proud Mary'?,Janis Joplin
Which band performed 'Livin' La Vida Loca'?,The Beach Boys
What year did Elvis Presley release 'Blue Suede Shoes'?,1959
